Timestamp,Age,Gender,Please select 6 outfit that you prefer the most! (Female),Please select 6 outfit that you prefer the most! (Male)
2022/07/04 10:39:26 am GMT+8,55 - 64,Female,Artsy Style;Indie Style;Kpop Style;Lolita Style;Preppy Style;Y2k Style,
2022/07/04 10:39:47 am GMT+8,55 - 64,Female,Artsy Style;Indie Style;Kpop Style;Preppy Style;Streetwear Style;Y2k Style,
2022/07/04 10:40:16 am GMT+8,55 - 64,Female,Artsy Style;Grunge Style;Lolita Style;Preppy Style;Vintage Style;Y2k Style,
2022/07/04 10:40:39 am GMT+8,55 - 64,Female,Artsy Style;Casual Style;Indie Style;Kpop Style;Preppy Style;Y2k Style,
2022/07/04 10:41:08 am GMT+8,55 - 64,Female,Biker Style;Comfy Style;Grunge Style;Hip Hop Style;Punk Style;Streetwear Style,
2022/07/04 10:41:53 am GMT+8,55 - 64,Female,Chic Style;Classy Style;Evening Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/04 10:42:24 am GMT+8,55 - 64,Female,Casual Style;Comfy Style;Hip Hop Style;Sporty Style;Streetwear Style;Vacation Style,
2022/07/04 10:42:57 am GMT+8,55 - 64,Female,Biker Style;Casual Style;Hip Hop Style;Punk Style;Sporty Style;Streetwear Style,
2022/07/04 10:43:16 am GMT+8,55 - 64,Female,Biker Style;Casual Style;Comfy Style;Hip Hop Style;Punk Style;Streetwear Style,
2022/07/04 10:43:40 am GMT+8,55 - 64,Female,Artsy Style;Bohemian Style;Indie Style;Vacation Style;Vintage Style;Y2k Style,
2022/07/04 10:44:03 am GMT+8,55 - 64,Female,Artsy Style;Bohemian Style;Preppy Style;Vacation Style;Vintage Style;Y2k Style,
2022/07/04 10:44:50 am GMT+8,55 - 64,Female,Artsy Style;Grunge Style;Indie Style;Kpop Style;Vintage Style;Y2k Style,
2022/07/04 10:45:15 am GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Ethnic Style;Lolita Style;Preppy Style;Vintage Style,
2022/07/04 10:45:38 am GMT+8,65 and above,Female,Biker Style;Chic Style;Classy Style;Evening Style;Punk Style;Sexy Style,
2022/07/04 10:45:56 am GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Ethnic Style;Girl Next Door Style;Vacation Style;Vintage Style,
2022/07/04 10:46:21 am GMT+8,65 and above,Female,Casual Style;Chic Style;Classy Style;Comfy Style;Girl Next Door Style;Sporty Style,
2022/07/04 10:47:01 am GMT+8,65 and above,Female,Casual Style;Classy Style;Comfy Style;Girl Next Door Style;Sporty Style;Vacation Style,
2022/07/04 10:47:32 am GMT+8,65 and above,Female,Biker Style;Casual Style;Chic Style;Classy Style;Evening Style;Sexy Style,
2022/07/04 10:47:48 am GMT+8,65 and above,Female,Casual Style;Chic Style;Classy Style;Ethnic Style;Evening Style;Formal Office Style,
2022/07/04 10:48:27 am GMT+8,65 and above,Female,Casual Style;Comfy Style;Girl Next Door Style;Preppy Style;Sporty Style;Vacation Style,
2022/07/04 10:48:51 am GMT+8,65 and above,Female,Artsy Style;Bohemian Style;Ethnic Style;Preppy Style;Vacation Style;Vintage Style,
2022/07/04 10:49:16 am GMT+8,65 and above,Female,Chic Style;Classy Style;Ethnic Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/04 10:49:35 am GMT+8,65 and above,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Girl Next Door Style;Sexy Style,
2022/07/04 10:50:19 am GMT+8,65 and above,Female,Chic Style;Classy Style;Ethnic Style;Evening Style;Sexy Style;Vintage Style,
2022/07/04 10:50:35 am GMT+8,65 and above,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Sexy Style;Sporty Style,
2022/07/04 10:51:05 am GMT+8,65 and above,Female,Bohemian Style;Casual Style;Comfy Style;Girl Next Door Style;Sporty Style;Vacation Style,
